Order Date,Product Name,Category,Region,Quantity,Sales,Profit
01-01-2022,Headphones,Accessories,South,7,3941,628.96
01-01-2022,Keyboard,Accessories,East,6,6372,570.75
01-01-2022,Monitor,Accessories,South,8,1296,273.97
01-01-2022,Mouse,Accessories,East,3,3474,565
01-01-2022,Tablet,Electronics,North,9,9234,2523.67
02-01-2022,Headphones,Accessories,North,8,1240,251.2
02-01-2022,Mouse,Accessories,North,8,6600,360.45
03-01-2022,Camera,Electronics,North,7,2723,638.26
04-01-2022,Headphones,Accessories,North,2,2150,625.93
04-01-2022,Laptop,Electronics,North,9,711,200.11
04-01-2022,Mouse,Accessories,South,9,9378,1740.97
04-01-2022,Printer,Office,East,6,6108,1488.4
05-01-2022,Camera,Electronics,West,2,1686,146.39
05-01-2022,Laptop,Electronics,South,5,3625,563.95
05-01-2022,Mouse,Accessories,East,5,3745,720.08
06-01-2022,Printer,Office,North,1,232,34.26
07-01-2022,Printer,Office,East,4,1412,150.13
07-01-2022,Smartphone,Electronics,South,3,2031,466.25
07-01-2022,Tablet,Electronics,North,3,3183,358.87
08-01-2022,Headphones,Accessories,South,5,3290,797.82
08-01-2022,Mouse,Accessories,South,1,71,12.02
08-01-2022,Smartphone,Electronics,South,7,3983,360.13
09-01-2022,Laptop,Electronics,South,8,2928,663.54
09-01-2022,Tablet,Electronics,West,7,7623,1459.84
10-01-2022,Camera,Electronics,West,7,6076,788.14
10-01-2022,Headphones,Accessories,North,1,951,127.58
10-01-2022,Headphones,Accessories,West,4,1728,239.64
10-01-2022,Monitor,Accessories,West,5,4690,706.74
10-01-2022,Smartwatch,Electronics,North,3,2412,640.35
11-01-2022,Headphones,Accessories,West,4,3036,511.69
11-01-2022,Keyboard,Accessories,West,3,2529,169.6
11-01-2022,Printer,Office,North,1,1016,171.31
11-01-2022,Smartphone,Electronics,East,3,2139,422.52
11-01-2022,Tablet,Electronics,North,7,2751,548.05
12-01-2022,Headphones,Accessories,South,6,738,158.96
12-01-2022,Laptop,Electronics,South,1,379,84.38
12-01-2022,Printer,Office,West,7,5635,1185.97
12-01-2022,Printer,Office,West,1,349,42.05
12-01-2022,Smartwatch,Electronics,East,8,3048,444.3
13-01-2022,Headphones,Accessories,South,8,4904,520.74
13-01-2022,Monitor,Accessories,West,2,1924,434.86
13-01-2022,Mouse,Accessories,East,7,3843,378.03
13-01-2022,Smartphone,Electronics,East,2,1668,470.42
13-01-2022,Tablet,Electronics,South,2,1916,503.83
14-01-2022,Camera,Electronics,South,7,3059,873.5
14-01-2022,Printer,Office,West,3,2817,588.47
14-01-2022,Tablet,Electronics,North,9,2205,410.01
15-01-2022,Monitor,Accessories,North,4,1060,213.05
15-01-2022,Printer,Office,East,7,5957,1433.85
15-01-2022,Tablet,Electronics,North,7,3584,940.88
16-01-2022,Keyboard,Accessories,East,9,7425,1533.72
16-01-2022,Laptop,Electronics,West,9,7650,2130.82
16-01-2022,Printer,Office,North,4,4428,600.55
16-01-2022,Smartphone,Electronics,North,3,231,36.73
16-01-2022,Tablet,Electronics,East,3,1767,186.54
17-01-2022,Headphones,Accessories,West,4,2384,577.26
17-01-2022,Mouse,Accessories,South,4,1316,244.13
17-01-2022,Printer,Office,East,1,1146,152.79
17-01-2022,Printer,Office,West,2,2238,294.54
17-01-2022,Smartwatch,Electronics,West,3,1308,197.6
18-01-2022,Keyboard,Accessories,East,1,717,137.27
18-01-2022,Keyboard,Accessories,South,1,466,102.48
18-01-2022,Printer,Office,East,7,3780,351.51
18-01-2022,Printer,Office,South,3,222,50.28
18-01-2022,Tablet,Electronics,North,6,5640,856.44
19-01-2022,Camera,Electronics,South,4,4700,619.26
19-01-2022,Monitor,Accessories,North,5,5500,1230.98
19-01-2022,Monitor,Accessories,West,5,4880,1250.66
19-01-2022,Mouse,Accessories,East,1,745,151.22
19-01-2022,Mouse,Accessories,East,8,1896,448.53
19-01-2022,Smartphone,Electronics,North,4,3668,839.4
20-01-2022,Monitor,Accessories,East,1,513,87.58
20-01-2022,Printer,Office,West,1,684,170.36
21-01-2022,Camera,Electronics,East,9,8055,2300.17
21-01-2022,Tablet,Electronics,South,7,2758,520.66
21-01-2022,Tablet,Electronics,South,6,3702,407.34
22-01-2022,Keyboard,Accessories,South,2,1860,327.15
22-01-2022,Printer,Office,South,4,1028,192.13
23-01-2022,Camera,Electronics,East,7,1169,264.37
23-01-2022,Smartwatch,Electronics,East,8,4792,511.97
24-01-2022,Monitor,Accessories,North,6,6192,717.46
24-01-2022,Smartphone,Electronics,North,9,6606,759.55
25-01-2022,Laptop,Electronics,South,1,288,61.85
25-01-2022,Smartwatch,Electronics,East,9,5337,1575.99
26-01-2022,Headphones,Accessories,South,7,4186,655.53
26-01-2022,Headphones,Accessories,West,6,5982,944.81
26-01-2022,Monitor,Accessories,South,7,4088,230.43
26-01-2022,Printer,Office,East,1,498,58.3
26-01-2022,Printer,Office,East,6,2100,202.86
27-01-2022,Headphones,Accessories,East,1,966,202.53
27-01-2022,Monitor,Accessories,South,6,3672,1002.5
27-01-2022,Printer,Office,North,2,1268,141.76
27-01-2022,Tablet,Electronics,North,5,400,86.52
28-01-2022,Laptop,Electronics,North,8,8192,1822.87
28-01-2022,Monitor,Accessories,South,1,940,120.35
28-01-2022,Mouse,Accessories,North,6,606,104.52
28-01-2022,Smartphone,Electronics,West,3,1830,403.42
28-01-2022,Smartwatch,Electronics,South,5,1295,104.26
29-01-2022,Camera,Electronics,South,4,4056,1189.26
29-01-2022,Mouse,Accessories,South,8,2112,418.58
29-01-2022,Mouse,Accessories,West,1,1033,302.68
29-01-2022,Printer,Office,South,2,2224,116.47
29-01-2022,Smartphone,Electronics,East,7,2968,728.94
29-01-2022,Smartwatch,Electronics,North,7,3255,814.85
30-01-2022,Camera,Electronics,South,8,5352,1133.57
31-01-2022,Camera,Electronics,South,2,1580,403.76
31-01-2022,Camera,Electronics,West,2,1716,368.06
31-01-2022,Laptop,Electronics,North,8,7064,1873.02
31-01-2022,Mouse,Accessories,South,1,1159,344.22
31-01-2022,Smartphone,Electronics,South,6,3366,460.75
31-01-2022,Smartphone,Electronics,West,2,1438,315.83
31-01-2022,Smartwatch,Electronics,East,5,4405,450.83
31-01-2022,Tablet,Electronics,South,4,1252,326.69
01-02-2022,Smartwatch,Electronics,East,3,315,61.94
02-02-2022,Monitor,Accessories,North,8,1800,494.02
02-02-2022,Tablet,Electronics,East,8,6728,1140.19
03-02-2022,Keyboard,Accessories,East,3,1422,328.98
03-02-2022,Keyboard,Accessories,West,1,930,222.5
03-02-2022,Keyboard,Accessories,West,2,2116,159.3
03-02-2022,Tablet,Electronics,West,8,5416,297.5
04-02-2022,Laptop,Electronics,North,8,2880,315.87
05-02-2022,Keyboard,Accessories,South,3,1950,211.16
05-02-2022,Monitor,Accessories,South,3,3075,804.06
05-02-2022,Printer,Office,North,1,686,86.18
05-02-2022,Printer,Office,West,8,3952,451.08
07-02-2022,Keyboard,Accessories,West,5,4550,1039.34
07-02-2022,Monitor,Accessories,South,6,1716,302.09
07-02-2022,Smartwatch,Electronics,North,3,531,73.35
08-02-2022,Keyboard,Accessories,East,7,7819,1708.84
08-02-2022,Monitor,Accessories,North,6,5022,291.89
08-02-2022,Monitor,Accessories,South,7,980,109.94
08-02-2022,Printer,Office,West,1,184,50.19
08-02-2022,Smartwatch,Electronics,North,2,522,52.73
08-02-2022,Smartwatch,Electronics,West,7,1806,129.6
08-02-2022,Tablet,Electronics,North,5,855,217.16
08-02-2022,Tablet,Electronics,West,5,595,121.11
09-02-2022,Smartphone,Electronics,East,7,4529,273.97
09-02-2022,Smartwatch,Electronics,East,3,1410,232.65
10-02-2022,Laptop,Electronics,North,9,1350,189.13
11-02-2022,Camera,Electronics,North,4,4648,689.85
11-02-2022,Camera,Electronics,West,3,1038,219.69
11-02-2022,Headphones,Accessories,North,8,456,74.99
11-02-2022,Printer,Office,East,9,4212,552.96
11-02-2022,Printer,Office,West,9,7290,841.07
